iter	RMSE
0	0.3717756416
1	0.3456527789
2	0.3223595306
3	0.3013922695
4	0.2826083873
5	0.2654172526
6	0.2501488728
7	0.2362188941
8	0.2238615248
9	0.2128488797
10	0.2028028707
11	0.1936844885
12	0.185148988
13	0.1776451457
14	0.1707902036
15	0.1647420293
16	0.1594784565
17	0.1540098195
18	0.1494193112
19	0.1450489757
20	0.141642372
21	0.1385242703
22	0.1352207435
23	0.1323816747
24	0.12941734
25	0.1270173225
26	0.1248598168
27	0.1226804599
28	0.1208342931
29	0.1190219401
30	0.1174129939
31	0.1154784703
32	0.1138438162
33	0.1123515723
34	0.1108185383
35	0.1095665519
36	0.1084446687
37	0.1073397556
38	0.1063852483
39	0.105600259
40	0.1045586602
41	0.1034083707
42	0.1025063932
43	0.1017010728
44	0.1008762083
45	0.1002155455
46	0.09932490312
47	0.09866978191
48	0.09789590866
49	0.09709852605
50	0.09684236318
51	0.09606134225
52	0.09533180604
53	0.09467692897
54	0.09420539753
55	0.09367326619
56	0.09295418869
57	0.09239050189
58	0.0915613531
59	0.09095661146
60	0.09027675411
61	0.08963206928
62	0.08927694557
63	0.08888857495
64	0.08868074916
65	0.08834991033
66	0.08801770415
67	0.0874070317
68	0.08684006521
69	0.08652504331
70	0.08633605651
71	0.08594647976
72	0.08535288311
73	0.08475455952
74	0.08429626639
75	0.08387227334
76	0.08352253521
77	0.08312915294
78	0.0826860277
79	0.08241104328
80	0.08174602506
81	0.08130139023
82	0.08059564631
83	0.08008810858
84	0.07969844428
85	0.07930330288
86	0.07878648321
87	0.07851784624
88	0.0780567969
89	0.07749123595
90	0.07718569231
91	0.07684199935
92	0.07621906403
93	0.0759550544
94	0.07569274211
95	0.07542645006
96	0.07505969719
97	0.07484363081
98	0.07440063858
99	0.07399116297
100	0.07353257234
101	0.0732856725
102	0.07297739235
103	0.07285296098
104	0.07252469508
105	0.07213803718
106	0.07195311339
107	0.07161674615
108	0.07136735807
109	0.07080680753
110	0.07041346418
111	0.07000567769
112	0.06962777758
113	0.0693302968
114	0.06887279019
115	0.06866537539
116	0.06828792954
117	0.06784410607
118	0.06756434785
119	0.06720432476
120	0.06688324649
121	0.06647565959
122	0.06611382079
123	0.06577351984
124	0.0654149306
125	0.0650349598
126	0.06464368143
127	0.06418623369
128	0.06391970124
129	0.06357814891
130	0.06328077513
131	0.0631333247
132	0.06289703724
133	0.06255822758
134	0.06224279453
135	0.06194974904
136	0.06175158493
137	0.06167048178
138	0.06137851633
139	0.06107166463
140	0.06082295286
141	0.06044588635
142	0.06019741191
143	0.05991697699
144	0.05965211778
145	0.05935661729
146	0.05920180279
147	0.05893502405
148	0.05864091826
149	0.05830649154
150	0.0580322186
151	0.05774556808
152	0.05756485092
153	0.05734136606
154	0.05716489173
155	0.05691564287
156	0.05680824433
157	0.05646701129
158	0.05634392311
159	0.05621014064
160	0.05582452934
161	0.05564623746
162	0.05548596022
163	0.05529515242
164	0.05510904097
165	0.05482405197
166	0.05463327943
167	0.05427230297
168	0.05409949918
169	0.0539500153
170	0.05375528414
171	0.05350637911
172	0.05327139765
173	0.0531148622
174	0.0529335442
175	0.05271311982
176	0.05252615993
177	0.05232548741
178	0.05227457607
179	0.05209625423
180	0.05177516633
181	0.05154618284
182	0.05124785302
183	0.05101101167
184	0.05079938905
185	0.05062477603
186	0.05051442734
187	0.05027171719
188	0.0501176331
189	0.04973925721
190	0.04954867127
191	0.04931549676
192	0.04915927534
193	0.04907172638
194	0.04877443645
195	0.04859885603
196	0.0484035763
197	0.04819042644
198	0.04796693959
199	0.04790873696
200	0.04768011905
201	0.04740022356
202	0.04725999455
203	0.0471510049
204	0.0469428588
205	0.04673249938
206	0.04649709333
207	0.04633547506
208	0.04614772915
209	0.04599732119
210	0.04574218566
211	0.04560350922
212	0.04538937861
213	0.0452547515
214	0.04521762419
215	0.04504203533
216	0.04490354272
217	0.04465372323
218	0.04444123443
219	0.04421351674
220	0.04401168312
221	0.04384209911
222	0.04369452736
223	0.04347105262
224	0.0433064406
225	0.04319763964
226	0.04310993866
227	0.04299344559
228	0.04294986521
229	0.04275942106
230	0.0425686584
231	0.04243804491
232	0.04224175193
233	0.04208411604
234	0.04185024366
235	0.04182111027
236	0.04163448828
237	0.04141638706
238	0.04124516602
239	0.04103964075
240	0.04092013034
241	0.04080885895
242	0.04064795857
243	0.04041010806
244	0.04028811718
245	0.04014282223
246	0.04000812298
247	0.03993230169
248	0.03980471436
249	0.03961466665
250	0.03950361471
251	0.03935033183
252	0.03910474692
253	0.03897697265
254	0.03890093235
255	0.03876507359
256	0.038643607
257	0.03850712158
258	0.03841305349
259	0.03831304267
260	0.03814418692
261	0.0380080993
262	0.03792453321
263	0.03775520085
264	0.03759205882
265	0.03739074935
266	0.03725738915
267	0.03710753325
268	0.03705469758
269	0.03695033813
270	0.03683066923
271	0.03668402236
272	0.03657024612
273	0.03642856069
274	0.03631775442
275	0.0361723477
276	0.03605871796
277	0.03589419632
278	0.03581189
279	0.03565806089
280	0.03561825418
281	0.03552783873
282	0.03547941832
283	0.03534998749
284	0.03532970668
285	0.03512288081
286	0.03504766151
287	0.03489864632
288	0.03475167492
289	0.03466296849
290	0.03455819251
291	0.03438379693
292	0.03433441162
293	0.03415101157
294	0.03403326394
295	0.03397122368
296	0.03381284755
297	0.03371775972
298	0.03357679185
299	0.03345266129
300	0.03339687699
301	0.03331885101
302	0.03322255117
303	0.03316789166
304	0.03315381457
305	0.03308971459
306	0.0330791537
307	0.03306439716
308	0.03294367361
309	0.03288801103
310	0.03280819171
311	0.03263457306
312	0.03252779198
313	0.03242357723
314	0.03231519115
315	0.03216692209
316	0.03207312172
317	0.03201050779
318	0.03195554017
319	0.03183759557
320	0.03174453247
321	0.03155731301
322	0.03145629669
323	0.03136338353
324	0.0312184837
325	0.03115223603
326	0.03105597322
327	0.03099991634
328	0.03088672884
329	0.03073406398
330	0.0306667386
