iter	Passed	Remaining
474	728	804
475	729	803
476	731	801
477	732	800
478	734	798
479	735	797
480	737	795
481	738	793
482	740	792
483	741	790
484	743	789
485	744	787
486	746	786
487	747	784
488	749	783
489	750	781
490	752	779
491	753	778
492	755	776
493	756	775
494	758	773
495	759	772
496	761	770
497	762	769
498	764	767
499	765	765
500	767	764
501	768	762
502	770	761
503	771	759
504	773	758
505	774	756
506	776	755
507	778	753
508	779	752
509	781	750
510	783	749
511	784	747
512	786	746
513	787	744
514	789	743
515	790	741
516	792	740
517	793	738
518	795	736
519	796	735
520	797	733
521	799	732
522	800	730
523	802	728
524	803	727
525	805	725
526	806	724
527	808	722
528	809	720
529	811	719
530	812	717
531	814	716
532	815	714
533	817	713
534	819	711
535	820	710
536	822	708
537	823	707
538	825	705
539	826	704
540	828	702
541	829	701
542	831	699
543	832	698
544	834	696
545	836	695
546	837	693
547	838	691
548	840	690
549	841	688
550	843	687
551	844	685
552	846	684
553	847	682
554	849	681
555	850	679
556	852	677
557	853	676
558	855	674
559	857	673
560	858	671
561	859	670
562	861	668
563	863	667
564	865	666
565	866	664
566	868	663
567	869	661
568	871	660
569	873	658
570	874	657
571	876	655
572	882	657
573	884	656
574	886	655
575	888	653
576	890	652
577	891	651
578	893	649
579	895	648
580	897	647
581	898	645
582	900	644
583	902	642
584	903	641
585	905	639
586	907	638
587	908	636
588	910	635
589	912	633
590	913	632
591	915	631
592	917	629
593	919	628
594	920	626
595	922	625
596	924	623
597	926	622
598	928	621
599	929	619
600	931	618
601	933	616
602	934	615
603	936	614
604	938	612
605	939	611
606	941	609
607	943	608
608	945	606
609	946	605
610	948	603
611	950	602
612	951	600
613	953	599
614	955	597
615	956	596
616	958	595
617	960	593
618	962	592
619	963	590
620	965	589
621	967	587
622	969	586
623	970	585
624	972	583
625	974	581
626	975	580
627	977	578
628	978	577
629	980	575
630	982	574
631	983	572
632	985	571
633	986	569
634	988	568
635	989	566
636	991	564
637	992	563
638	994	561
639	995	560
640	997	558
641	998	557
642	1000	555
643	1001	553
644	1003	552
645	1004	550
646	1006	549
647	1007	547
648	1009	545
649	1010	544
650	1012	542
651	1014	541
652	1015	539
653	1017	538
654	1018	536
655	1020	535
656	1021	533
657	1023	531
658	1024	530
659	1026	528
660	1028	527
661	1029	525
662	1031	524
663	1032	522
664	1034	520
665	1035	519
666	1036	517
667	1038	516
668	1040	514
669	1041	513
670	1043	511
671	1044	509
672	1046	508
673	1047	506
674	1048	505
675	1050	503
676	1051	501
677	1053	500
678	1055	498
679	1056	497
680	1058	495
681	1059	494
682	1061	492
683	1062	491
684	1064	489
685	1066	487
686	1067	486
687	1069	484
688	1071	483
689	1073	482
690	1074	480
691	1076	479
692	1078	477
693	1079	476
694	1081	474
695	1083	473
696	1084	471
697	1086	470
698	1088	468
699	1090	467
700	1091	465
701	1093	464
702	1095	462
703	1096	461
704	1098	459
705	1100	458
706	1101	456
707	1103	455
708	1104	453
709	1106	451
710	1108	450
711	1109	448
712	1111	447
713	1112	445
714	1114	444
715	1116	442
716	1117	441
717	1119	439
718	1120	437
719	1122	436
720	1123	434
721	1125	433
722	1126	431
723	1128	430
724	1129	428
725	1131	426
726	1132	425
727	1134	423
728	1135	422
729	1136	420
730	1138	418
731	1140	417
732	1141	415
733	1142	414
734	1144	412
735	1146	411
736	1147	409
737	1148	407
738	1150	406
739	1151	404
740	1153	403
741	1154	401
742	1156	400
743	1158	398
744	1159	396
745	1161	395
746	1162	393
747	1164	392
748	1165	390
749	1167	389
750	1168	387
751	1170	385
752	1171	384
753	1173	382
754	1174	381
755	1176	379
756	1178	378
757	1180	376
758	1181	375
759	1183	373
760	1184	372
761	1186	370
762	1188	369
763	1189	367
764	1191	365
765	1193	364
766	1194	362
767	1196	361
768	1197	359
769	1199	358
770	1200	356
771	1202	355
772	1204	353
773	1205	352
774	1207	350
775	1208	348
776	1210	347
777	1211	345
778	1213	344
779	1214	342
780	1216	341
781	1217	339
782	1219	337
783	1220	336
784	1222	334
